,Unnamed: 0,Datetime,TweetId,Text,EncodedText,Username,Tweet,Language,Drug,IsValid,CleanText,AbsText,WordCount,AbsCount
45475,45475,2021-11-20 16:49:49+00:00,1462100884012343301,@louGwake Exactly... last Ocrevus infusion late March. Jan/Feb AZ. Sept - Pfizer.,b'@louGwake Exactly... last Ocrevus infusion late March. Jan/Feb AZ. Sept - Pfizer.',RachelHorne19,https://twitter.com/RachelHorne19/status/1462100884012343301,en,ocrevus,,Exactly last Ocrevus infusion late March JanFeb AZ Sept  Pfizer,Exactly last Ocrevus infusion late March JanFeb AZ Sept  Pfizer,10,10
55698,55698,2019-09-10 06:22:39+00:00,1171307980618391554,Roche Announces Blood NFL Levels `Significantly' Lowered After Application Of Ocrevus,"b""Roche Announces Blood NFL Levels `Significantly' Lowered After Application Of Ocrevus""",LakkisElias,https://twitter.com/LakkisElias/status/1171307980618391554,en,ocrevus,,Roche Announces Blood NFL Levels Significantly Lowered After Application Of Ocrevus,Roche Announces Blood NFL Levels Significantly Lowered After Application Of Ocrevus,11,11
33671,33671,2021-02-22 17:22:32+00:00,1363902002820837378,A very rare side effect of Tysabri: varicella zoster virus associated acute retinal necrosis and central nervous system vasculitis.  Consider the shingles vaccination or checking varicella titers if you want to take Tysabri.  https://t.co/CPBY1gOFtS https://t.co/wC1zOWf2G0,b'A very rare side effect of Tysabri: varicella zoster virus associated acute retinal necrosis and central nervous system vasculitis.  Consider the shingles vaccination or checking varicella titers if you want to take Tysabri.  https://t.co/CPBY1gOFtS https://t.co/wC1zOWf2G0',Brandon_Beaber,https://twitter.com/Brandon_Beaber/status/1363902002820837378,en,tysabri,,A very rare side effect of Tysabri varicella zoster virus associated acute retinal necrosis and central nervous system vasculitis Consider the shingles vaccination or checking varicella titers if you want to take Tysabri,A very rare side effect of Tysabri varicella zoster virus associated acute retinal necrosis and central nervous system vasculitis Consider the shingles vaccination or checking varicella titers if you want to take Tysabri,33,33
9617,9617,2022-04-21 15:47:18+00:00,1517168103032975360,@lauramann212 And Vumerity is the new drug that is in the same class as Tecfidera.,b'@lauramann212 And Vumerity is the new drug that is in the same class as Tecfidera.',iamsuzannehicks,https://twitter.com/iamsuzannehicks/status/1517168103032975360,en,tecfidera,,And Vumerity is the new drug that is in the same class as Tecfidera,And Vumerity is the new drug that is in the same class as Tecfidera,14,14
47247,47247,2021-08-11 06:07:02+00:00,1425337948044660746,"@Luxuria__Studio @LauraSchumann14 @1capplegate I had success on Ocrevus⁠—more energy and stamina. It's not as scary as it sounds⁠—I'd say the biggest drawback is covid and effectiveness of vaccines while on treatment, and the side effect where colds go to your chest more easily. Have you talked about Tecfidera?","b""@Luxuria__Studio @LauraSchumann14 @1capplegate I had success on Ocrevus\xe2\x81\xa0\xe2\x80\x94more energy and stamina. It's not as scary as it sounds\xe2\x81\xa0\xe2\x80\x94I'd say the biggest drawback is covid and effectiveness of vaccines while on treatment, and the side effect where colds go to your chest more easily. Have you talked about Tecfidera?""",ohwoops,https://twitter.com/ohwoops/status/1425337948044660746,en,ocrevus,,I had success on Ocrevusmore energy and stamina Its not as scary as it soundsId say the biggest drawback is covid and effectiveness of vaccines while on treatment and the side effect where colds go to your chest more easily Have you talked about Tecfidera,I had success on Ocrevusmore energy and stamina Its not as scary as it soundsId say the biggest drawback is covid and effectiveness of vaccines while on treatment and the side effect where colds go to your chest more easily Have you talked about Tecfidera,45,45
50140,50140,2021-01-29 19:11:45+00:00,1355232181849829380,@AdamKiley3 @Brandon_Beaber Get tested to see if you have or have been exposed to the JC viruses.  I was on Tec and couldn’t switch to Tys for the reason.   Just started on Ocrevus.,b'@AdamKiley3 @Brandon_Beaber Get tested to see if you have or have been exposed to the JC viruses.  I was on Tec and couldn\xe2\x80\x99t switch to Tys for the reason.   Just started on Ocrevus.',Nabb669801,https://twitter.com/Nabb669801/status/1355232181849829380,en,ocrevus,,Get tested to see if you have or have been exposed to the JC viruses I was on Tec and couldnt switch to Tys for the reason Just started on Ocrevus,Get tested to see if you have or have been exposed to the JC viruses I was on Tec and couldnt switch to Tys for the reason Just started on Ocrevus,31,31
69126,69126,2019-07-13 16:16:35+00:00,1150076568552857602,"@goggle_beard @shiftms I went for Lemtrada 1st, that was 4 years ago, and touch wood, no relapses since. Good luck with HSCT, I hope it treats you well Scott.","b'@goggle_beard @shiftms I went for Lemtrada 1st, that was 4 years ago, and touch wood, no relapses since. Good luck with HSCT, I hope it treats you well Scott.'",JohnWildy71,https://twitter.com/JohnWildy71/status/1150076568552857602,en,lemtrada,,I went for Lemtrada st that was years ago and touch wood no relapses since Good luck with HSCT I hope it treats you well Scott,I went for Lemtrada st that was years ago and touch wood no relapses since Good luck with HSCT I hope it treats you well Scott,26,26
59335,59335,2018-03-28 19:02:14+00:00,979071181608378368,"It’s infusion day ... yay! &lt;— sarcasm
I’m ready for this to be done. I’ve been praying in this chair since 8 am. 
Ocrevus better be worth all this! I HATE IVs.  #cureMS #MultipleSclerosis",b'It\xe2\x80\x99s infusion day ... yay! &lt;\xe2\x80\x94 sarcasm\nI\xe2\x80\x99m ready for this to be done. I\xe2\x80\x99ve been praying in this chair since 8 am. \nOcrevus better be worth all this! I HATE IVs.  #cureMS #MultipleSclerosis',BamaJoJo76,https://twitter.com/BamaJoJo76/status/979071181608378368,en,ocrevus,,Its infusion day  yay  sarcasm Im ready for this to be done Ive been praying in this chair since am Ocrevus better be worth all this I HATE IVs cureMS MultipleSclerosis,Its infusion day  yay  sarcasm Im ready for this to be done Ive been praying in this chair since am Ocrevus better be worth all this I HATE IVs,31,29
49962,49962,2021-02-11 15:03:50+00:00,1359880832169738240,@PrincessMS23 Thanks for this info - I’m on Ocrevus and my neurologist gave me the go ahead on a vaccine when it’s available!!,b'@PrincessMS23 Thanks for this info - I\xe2\x80\x99m on Ocrevus and my neurologist gave me the go ahead on a vaccine when it\xe2\x80\x99s available!!',stephan78704003,https://twitter.com/stephan78704003/status/1359880832169738240,en,ocrevus,,Thanks for this info  Im on Ocrevus and my neurologist gave me the go ahead on a vaccine when its available,Thanks for this info  Im on Ocrevus and my neurologist gave me the go ahead on a vaccine when its available,21,21
7473,7473,2019-04-24 21:13:00+00:00,1121160133944532994,7 months on Aubagio and it feels like I’m not myself. I feel “sicker” than usual.,b'7 months on Aubagio and it feels like I\xe2\x80\x99m not myself. I feel \xe2\x80\x9csicker\xe2\x80\x9d than usual.',nyuchu77rebirth,https://twitter.com/nyuchu77rebirth/status/1121160133944532994,en,aubagio,,months on Aubagio and it feels like Im not myself I feel sicker than usual,months on Aubagio and it feels like Im not myself I feel sicker than usual,15,15
67949,67949,2020-04-03 03:07:55+00:00,1245910876382580736,"@MZimm81 Basically, high efficacy agents such as Lemtrada and Tysabri are causing greater reduction in neurofilament light chain which in turn is a marker of nervous system injury in mulitple sclerosis.","b'@MZimm81 Basically, high efficacy agents such as Lemtrada and Tysabri are causing greater reduction in neurofilament light chain which in turn is a marker of nervous system injury in mulitple sclerosis.'",Brandon_Beaber,https://twitter.com/Brandon_Beaber/status/1245910876382580736,en,lemtrada,,Basically high efficacy agents such as Lemtrada and Tysabri are causing greater reduction in neurofilament light chain which in turn is a marker of nervous system injury in mulitple sclerosis,Basically high efficacy agents such as Lemtrada and Tysabri are causing greater reduction in neurofilament light chain which in turn is a marker of nervous system injury in mulitple sclerosis,30,30
33098,33098,2021-06-24 13:25:21+00:00,1408053634143854599,Back in Atkinson Morley wing. No air con. Think that's why all my fellow MS therapy patients preferred the portacabin. #Tysabri #MS https://t.co/W5RnJYUPmq,"b""Back in Atkinson Morley wing. No air con. Think that's why all my fellow MS therapy patients preferred the portacabin. #Tysabri #MS https://t.co/W5RnJYUPmq""",GrumpyoldGould,https://twitter.com/GrumpyoldGould/status/1408053634143854599,en,tysabri,,Back in Atkinson Morley wing No air con Think thats why all my fellow MS therapy patients preferred the portacabin Tysabri MS,Back in Atkinson Morley wing No air con Think thats why all my fellow MS therapy patients preferred the portacabin,22,20
61845,61845,2021-05-05 03:43:36+00:00,1389787839945191424,A difficult situation for individuals with multiple sclerosis being treated with ocrelizumab https://t.co/NewmGZrYGb #palf #aanadvocacy #western #lhsc #cns,b'A difficult situation for individuals with multiple sclerosis being treated with ocrelizumab https://t.co/NewmGZrYGb #palf #aanadvocacy #western #lhsc #cns',casserly_dr,https://twitter.com/casserly_dr/status/1389787839945191424,en,ocrelizumab,,A difficult situation for individuals with multiple sclerosis being treated with ocrelizumab palf aanadvocacy western lhsc cns,A difficult situation for individuals with multiple sclerosis being treated with ocrelizumab,17,12
45960,45960,2021-10-20 08:45:21+00:00,1450744937365090304,@colinrtalbot I feel yr pain. Just been told by neuro dept their pharmacist sent email to GPs a MONTH ago to say people on #ocrevus ( #ms treatment) should have the 3rd PRIMARY dose. not a dickie bird from GP. I am FURIOUS + sick of staying in the house!!,b'@colinrtalbot I feel yr pain. Just been told by neuro dept their pharmacist sent email to GPs a MONTH ago to say people on #ocrevus ( #ms treatment) should have the 3rd PRIMARY dose. not a dickie bird from GP. I am FURIOUS + sick of staying in the house!!',RestedIn,https://twitter.com/RestedIn/status/1450744937365090304,en,ocrevus,,I feel yr pain Just been told by neuro dept their pharmacist sent email to GPs a MONTH ago to say people on ocrevus  ms treatment should have the rd PRIMARY dose not a dickie bird from GP I am FURIOUS  sick of staying in the house,I feel yr pain Just been told by neuro dept their pharmacist sent email to GPs a MONTH ago to say people on  treatment should have the rd PRIMARY dose not a dickie bird from GP I am FURIOUS  sick of staying in the house,47,45
14897,14897,2018-09-15 06:05:24+00:00,1040844011408449536,@eatsruns @shiftms Hope tecfidera is helping - there were reasons it wasn't suitable for me but it looks like a really good drug and was my original choice.,"b""@eatsruns @shiftms Hope tecfidera is helping - there were reasons it wasn't suitable for me but it looks like a really good drug and was my original choice.""",robynchanteuse,https://twitter.com/robynchanteuse/status/1040844011408449536,en,tecfidera,,Hope tecfidera is helping  there were reasons it wasnt suitable for me but it looks like a really good drug and was my original choice,Hope tecfidera is helping  there were reasons it wasnt suitable for me but it looks like a really good drug and was my original choice,25,25
34506,34506,2020-08-13 19:39:47+00:00,1293995684673314819,"@Ktmoodles Not that I know what every clinic, everywhere is doing but they've tried to get all my stuff onto covid free sites so MRIs are being done by private hospitals and my tysabri treatment has been moved to a community hospital.","b""@Ktmoodles Not that I know what every clinic, everywhere is doing but they've tried to get all my stuff onto covid free sites so MRIs are being done by private hospitals and my tysabri treatment has been moved to a community hospital.""",DomesticPlodess,https://twitter.com/DomesticPlodess/status/1293995684673314819,en,tysabri,,Not that I know what every clinic everywhere is doing but theyve tried to get all my stuff onto covid free sites so MRIs are being done by private hospitals and my tysabri treatment has been moved to a community hospital,Not that I know what every clinic everywhere is doing but theyve tried to get all my stuff onto covid free sites so MRIs are being done by private hospitals and my tysabri treatment has been moved to a community hospital,41,41
63400,63400,2020-03-16 18:42:34+00:00,1239623109210263552,"@drbarrysinger @C_OrejaGuevara @J_SastreGarriga @bart_professor @KlausSchmierer @GavinGiovannoni @SKriegerMD We have one infected patient on Ocrelizumab and another one on Alemtuzumab. So far (one week), they are both at home with mild symptoms and recovering. Best regards from Albacete (Spain) #MSCOVID19","b'@drbarrysinger @C_OrejaGuevara @J_SastreGarriga @bart_professor @KlausSchmierer @GavinGiovannoni @SKriegerMD We have one infected patient on Ocrelizumab and another one on Alemtuzumab. So far (one week), they are both at home with mild symptoms and recovering. Best regards from Albacete (Spain) #MSCOVID19'",EM_Albacete,https://twitter.com/EM_Albacete/status/1239623109210263552,en,ocrelizumab,,We have one infected patient on Ocrelizumab and another one on Alemtuzumab So far one week they are both at home with mild symptoms and recovering Best regards from Albacete Spain MSCOVID19,We have one infected patient on Ocrelizumab and another one on Alemtuzumab So far one week they are both at home with mild symptoms and recovering Best regards from Albacete Spain,32,31
34534,34534,2020-08-07 14:30:13+00:00,1291743452129112068,"Comment on this post and I'll let you into space especially for newly diagnosed.

#MultipleSclerosisDiagnosis #MSlife #chronicillness #Spoonie #invisiblestrength #MSsymptoms #MSstrong #butyoudontlooksick #tysabri #MSwarrior #MS #msfighter #multiplesclerosis #CureMS #survivor https://t.co/FXFAHJFJBM","b""Comment on this post and I'll let you into space especially for newly diagnosed.\n\n#MultipleSclerosisDiagnosis #MSlife #chronicillness #Spoonie #invisiblestrength #MSsymptoms #MSstrong #butyoudontlooksick #tysabri #MSwarrior #MS #msfighter #multiplesclerosis #CureMS #survivor https://t.co/FXFAHJFJBM""",MultipleSuccess,https://twitter.com/MultipleSuccess/status/1291743452129112068,en,tysabri,,Comment on this post and Ill let you into space especially for newly diagnosed MultipleSclerosisDiagnosis MSlife chronicillness Spoonie invisiblestrength MSsymptoms MSstrong butyoudontlooksick tysabri MSwarrior MS msfighter multiplesclerosis CureMS survivor,Comment on this post and Ill let you into space especially for newly diagnosed,29,14
61147,61147,2021-10-27 08:31:25+00:00,1453278145159782408,"36) Yesterday's poll? The answer: 26 days. It takes approx. 4.5 half-lives for a drug to reach negligible levels. So for ocrelizumab the drug is cleared in 4.5 x 26 = 117 days or 16 weeks, ...","b""36) Yesterday's poll? The answer: 26 days. It takes approx. 4.5 half-lives for a drug to reach negligible levels. So for ocrelizumab the drug is cleared in 4.5 x 26 = 117 days or 16 weeks, ...""",ms_cme,https://twitter.com/ms_cme/status/1453278145159782408,en,ocrelizumab,, Yesterdays poll The answer days It takes approx halflives for a drug to reach negligible levels So for ocrelizumab the drug is cleared in x  days or weeks , Yesterdays poll The answer days It takes approx halflives for a drug to reach negligible levels So for ocrelizumab the drug is cleared in x  days or weeks ,28,28
49087,49087,2021-04-16 20:28:22+00:00,1383155325386289155,"@dmshetayh @lblegend33 @BioRunUp Dude, he has been bashing $tgtx forever.  The reality is they will have by far and away the best in class MS drug, with a 1 hr infusion.  It’s twice as effective as the $2b drug in market and has statistically significant better results than Ocrevus which is the $4b market leader","b'@dmshetayh @lblegend33 @BioRunUp Dude, he has been bashing $tgtx forever.  The reality is they will have by far and away the best in class MS drug, with a 1 hr infusion.  It\xe2\x80\x99s twice as effective as the $2b drug in market and has statistically significant better results than Ocrevus which is the $4b market leader'",TedStamos,https://twitter.com/TedStamos/status/1383155325386289155,en,ocrevus,,Dude he has been bashing tgtx forever The reality is they will have by far and away the best in class MS drug with a hr infusion Its twice as effective as the 2b drug in market and has statistically significant better results than Ocrevus which is the 4b market leader,Dude he has been bashing tgtx forever The reality is they will have by far and away the best in class MS drug with a hr infusion Its twice as effective as the 2b drug in market and has statistically significant better results than Ocrevus which is the 4b market leader,51,51
16554,16554,2019-12-14 11:18:32+00:00,1205809292072275968,New NNT→Effectiveness of delayed-release dimethyl fumarate on patient-reported outcomes and clinical measures in patients with relapsing-remitting multiple sclerosis in a real-world clinical setting: PROTEC. https://t.co/bNxBXYXYzO,b'New NNT\xe2\x86\x92Effectiveness of delayed-release dimethyl fumarate on patient-reported outcomes and clinical measures in patients with relapsing-remitting multiple sclerosis in a real-world clinical setting: PROTEC. https://t.co/bNxBXYXYzO',NNTonthefly,https://twitter.com/NNTonthefly/status/1205809292072275968,en,dimethyl fumarate,,New NNTEffectiveness of delayedrelease dimethyl fumarate on patientreported outcomes and clinical measures in patients with relapsingremitting multiple sclerosis in a realworld clinical setting PROTEC,New NNTEffectiveness of delayedrelease dimethyl fumarate on patientreported outcomes and clinical measures in patients with relapsingremitting multiple sclerosis in a realworld clinical setting PROTEC,24,24
7032,7032,2019-10-17 07:40:53+00:00,1184736020094472192,@MSJE_AIC It's only 4 months back that I terminated the medication due to the escalated cost. I have taken money to the tune of 2.64 lakhs from my relatives and friends to cover this cost. I am presently on Aubagio by Sanofi Genzyme recommended by Doctor as an alternative.(3/3),"b""@MSJE_AIC It's only 4 months back that I terminated the medication due to the escalated cost. I have taken money to the tune of 2.64 lakhs from my relatives and friends to cover this cost. I am presently on Aubagio by Sanofi Genzyme recommended by Doctor as an alternative.(3/3)""",amitpallath,https://twitter.com/amitpallath/status/1184736020094472192,en,aubagio,,Its only months back that I terminated the medication due to the escalated cost I have taken money to the tune of lakhs from my relatives and friends to cover this cost I am presently on Aubagio by Sanofi Genzyme recommended by Doctor as an alternative33,Its only months back that I terminated the medication due to the escalated cost I have taken money to the tune of lakhs from my relatives and friends to cover this cost I am presently on Aubagio by Sanofi Genzyme recommended by Doctor as an alternative33,46,46
50647,50647,2020-12-17 01:35:09+00:00,1339383599397801984,"Are there any #healthcareworkers out there with #MS who are on #Ocrevus, who have received the #COVID_19Vaccine?","b'Are there any #healthcareworkers out there with #MS who are on #Ocrevus, who have received the #COVID_19Vaccine?'",OJIBAJO,https://twitter.com/OJIBAJO/status/1339383599397801984,en,ocrevus,,Are there any healthcareworkers out there with MS who are on Ocrevus who have received the COVID19Vaccine,Are there any out there with who are on  who have received the ,17,13
61438,61438,2021-09-09 10:09:08+00:00,1435908122619564039,The decision to switch from ocrelizumab to a safer oral therapy to optimise her COVID-19 vaccine response and to derisk the long-term immunosuppression associated with an anti-CD20 therapy makes biological sense. Do you agree? #MS_Selfie_Newsletter https://t.co/WSElvbKhdu https://t.co/GTxeHZiAhO,b'The decision to switch from ocrelizumab to a safer oral therapy to optimise her COVID-19 vaccine response and to derisk the long-term immunosuppression associated with an anti-CD20 therapy makes biological sense. Do you agree? #MS_Selfie_Newsletter https://t.co/WSElvbKhdu https://t.co/GTxeHZiAhO',GavinGiovannoni,https://twitter.com/GavinGiovannoni/status/1435908122619564039,en,ocrelizumab,,The decision to switch from ocrelizumab to a safer oral therapy to optimise her COVID19 vaccine response and to derisk the longterm immunosuppression associated with an antiCD20 therapy makes biological sense Do you agree MSSelfieNewsletter,The decision to switch from ocrelizumab to a safer oral therapy to optimise her COVID19 vaccine response and to derisk the longterm immunosuppression associated with an antiCD20 therapy makes biological sense Do you agree,35,34
61632,61632,2021-07-16 01:41:32+00:00,1415849044765822984,"@shanahanfamily @ocrelizumab I don't go out in the US in anything less than a well sealed N95 mask.  I did not get antibodies from the Covid vaccine after 5 years on the drug, and Delta variant is way too contagious for me to risk getting Covid now after shielding for 15 months when the risk was a lot lower.","b""@shanahanfamily @ocrelizumab I don't go out in the US in anything less than a well sealed N95 mask.  I did not get antibodies from the Covid vaccine after 5 years on the drug, and Delta variant is way too contagious for me to risk getting Covid now after shielding for 15 months when the risk was a lot lower.""",cassidyllc,https://twitter.com/cassidyllc/status/1415849044765822984,en,ocrelizumab,,I dont go out in the US in anything less than a well sealed N95 mask I did not get antibodies from the Covid vaccine after years on the drug and Delta variant is way too contagious for me to risk getting Covid now after shielding for months when the risk was a lot lower,I dont go out in the US in anything less than a well sealed N95 mask I did not get antibodies from the Covid vaccine after years on the drug and Delta variant is way too contagious for me to risk getting Covid now after shielding for months when the risk was a lot lower,55,55
29012,29012,2019-04-30 04:10:20+00:00,1123077096270630913,Mayzent hits the market! Another step in the fight against #MultipleSclerosis https://t.co/f9zd2snS3a,b'Mayzent hits the market! Another step in the fight against #MultipleSclerosis https://t.co/f9zd2snS3a',mallyaa,https://twitter.com/mallyaa/status/1123077096270630913,en,mayzent,,Mayzent hits the market Another step in the fight against MultipleSclerosis,Mayzent hits the market Another step in the fight against,11,10
32018,32018,2022-03-20 12:26:57+00:00,1505521274155675650,"@RachelHorne19 Yes I was that person nearly 13 years ago, fell and couldn’t get up, A&amp;E then neuro then discussion of tysabri. Fantastic drug but unfortunately I had to come off it due to being positive for JC.","b'@RachelHorne19 Yes I was that person nearly 13 years ago, fell and couldn\xe2\x80\x99t get up, A&amp;E then neuro then discussion of tysabri. Fantastic drug but unfortunately I had to come off it due to being positive for JC.'",Emmamoo87234327,https://twitter.com/Emmamoo87234327/status/1505521274155675650,en,tysabri,,Yes I was that person nearly years ago fell and couldnt get up AE then neuro then discussion of tysabri Fantastic drug but unfortunately I had to come off it due to being positive for JC,Yes I was that person nearly years ago fell and couldnt get up AE then neuro then discussion of tysabri Fantastic drug but unfortunately I had to come off it due to being positive for JC,36,36
66111,66111,2018-02-12 18:00:48+00:00,963110654235369478,Rituximab has a major impact on the immunological profile in the cerebrospinal fluid of MSers. I wonder if the impact of ocrelizumab will be greater? #ResearchSpeak https://t.co/X3cwABN5qh https://t.co/SlkNFnvq6e,b'Rituximab has a major impact on the immunological profile in the cerebrospinal fluid of MSers. I wonder if the impact of ocrelizumab will be greater? #ResearchSpeak https://t.co/X3cwABN5qh https://t.co/SlkNFnvq6e',GavinGiovannoni,https://twitter.com/GavinGiovannoni/status/963110654235369478,en,ocrelizumab,,Rituximab has a major impact on the immunological profile in the cerebrospinal fluid of MSers I wonder if the impact of ocrelizumab will be greater ResearchSpeak,Rituximab has a major impact on the immunological profile in the cerebrospinal fluid of MSers I wonder if the impact of ocrelizumab will be greater,26,25
14377,14377,2019-02-07 15:43:00+00:00,1093535607589167109,A novel Tecfidera bioequivalent may be able to alter the state of #MultipleSclerosis care https://t.co/b6TtIAWQbM,b'A novel Tecfidera bioequivalent may be able to alter the state of #MultipleSclerosis care https://t.co/b6TtIAWQbM',MDMagazine,https://twitter.com/MDMagazine/status/1093535607589167109,en,tecfidera,,A novel Tecfidera bioequivalent may be able to alter the state of MultipleSclerosis care,A novel Tecfidera bioequivalent may be able to alter the state of care,14,13
54071,54071,2020-03-13 15:19:07+00:00,1238484742426759169,@JaniceDean Are you taking Ocrevus by chance? I am,b'@JaniceDean Are you taking Ocrevus by chance? I am',Driverd57,https://twitter.com/Driverd57/status/1238484742426759169,en,ocrevus,,Are you taking Ocrevus by chance I am,Are you taking Ocrevus by chance I am,8,8
74432,74432,2019-02-24 21:41:33+00:00,1099786434255319040,"Alemtuzumab (Campath) is a humanized recombinant IgG1 kappa antibody against CD52 used to treat CLL, T-PLL, and cutaneous T-cell lymphomas.  A clue to the artifact is that the kappa light chain restriction is seen on both B and T cells.","b'Alemtuzumab (Campath) is a humanized recombinant IgG1 kappa antibody against CD52 used to treat CLL, T-PLL, and cutaneous T-cell lymphomas.  A clue to the artifact is that the kappa light chain restriction is seen on both B and T cells.'",brent_tan,https://twitter.com/brent_tan/status/1099786434255319040,en,alemtuzumab,,Alemtuzumab Campath is a humanized recombinant IgG1 kappa antibody against CD52 used to treat CLL TPLL and cutaneous Tcell lymphomas A clue to the artifact is that the kappa light chain restriction is seen on both B and T cells,Alemtuzumab Campath is a humanized recombinant IgG1 kappa antibody against CD52 used to treat CLL TPLL and cutaneous Tcell lymphomas A clue to the artifact is that the kappa light chain restriction is seen on both B and T cells,40,40
53343,53343,2020-05-07 10:50:23+00:00,1258348449067491329,@kailaswild That sounds blissful to me.  Am currently feverish due to my ocrevus infusion Tuesday and am very hot ☹️,b'@kailaswild That sounds blissful to me.  Am currently feverish due to my ocrevus infusion Tuesday and am very hot \xe2\x98\xb9\xef\xb8\x8f',Dotheday,https://twitter.com/Dotheday/status/1258348449067491329,en,ocrevus,,That sounds blissful to me Am currently feverish due to my ocrevus infusion Tuesday and am very hot,That sounds blissful to me Am currently feverish due to my ocrevus infusion Tuesday and am very hot,18,18
12814,12814,2020-02-06 20:30:32+00:00,1225517149122441218,Recon: GSK Looks to Cut 900+ Jobs in Belgium; Biogen Wins Tecfidera Dispute Against Mylan https://t.co/HOluhadYYR,b'Recon: GSK Looks to Cut 900+ Jobs in Belgium; Biogen Wins Tecfidera Dispute Against Mylan https://t.co/HOluhadYYR',RAC_Medical,https://twitter.com/RAC_Medical/status/1225517149122441218,en,tecfidera,,Recon GSK Looks to Cut  Jobs in Belgium Biogen Wins Tecfidera Dispute Against Mylan,Recon GSK Looks to Cut  Jobs in Belgium Biogen Wins Tecfidera Dispute Against Mylan,14,14
49694,49694,2021-03-07 20:06:49+00:00,1368654387778789379,"@astroyogiamanda No, I didn’t notice any more exacerbations. Though as before I did have a stay at the hospital 4/2017, started ocrevus, but only 1 injection. I’m not on any DMD’s at the moment. Managing stress is the key, don’t overload your circuitry. If moving is an option, than be open to it","b'@astroyogiamanda No, I didn\xe2\x80\x99t notice any more exacerbations. Though as before I did have a stay at the hospital 4/2017, started ocrevus, but only 1 injection. I\xe2\x80\x99m not on any DMD\xe2\x80\x99s at the moment. Managing stress is the key, don\xe2\x80\x99t overload your circuitry. If moving is an option, than be open to it'",CRShanken,https://twitter.com/CRShanken/status/1368654387778789379,en,ocrevus,,No I didnt notice any more exacerbations Though as before I did have a stay at the hospital 2017 started ocrevus but only injection Im not on any DMDs at the moment Managing stress is the key dont overload your circuitry If moving is an option than be open to it,No I didnt notice any more exacerbations Though as before I did have a stay at the hospital 2017 started ocrevus but only injection Im not on any DMDs at the moment Managing stress is the key dont overload your circuitry If moving is an option than be open to it,51,51
52686,52686,2020-07-22 03:26:28+00:00,1285778208063803394,"“Don’t take ocrevus if you have a life threatening allergic reaction to it”

Uhm....",b'\xe2\x80\x9cDon\xe2\x80\x99t take ocrevus if you have a life threatening allergic reaction to it\xe2\x80\x9d\n\nUhm....',AStokkebye,https://twitter.com/AStokkebye/status/1285778208063803394,en,ocrevus,,Dont take ocrevus if you have a life threatening allergic reaction to it Uhm,Dont take ocrevus if you have a life threatening allergic reaction to it Uhm,14,14
10907,10907,2021-03-26 01:10:54+00:00,1375253896340246531,"@astroyogiamanda Had two injections, 4/2017-10/2017
It’s a lot better than tecfidera. 
Haven’t had any other symptoms since then.","b'@astroyogiamanda Had two injections, 4/2017-10/2017\nIt\xe2\x80\x99s a lot better than tecfidera. \nHaven\xe2\x80\x99t had any other symptoms since then.'",CRShanken,https://twitter.com/CRShanken/status/1375253896340246531,en,tecfidera,,Had two injections 2017102017 Its a lot better than tecfidera Havent had any other symptoms since then,Had two injections 2017102017 Its a lot better than tecfidera Havent had any other symptoms since then,17,17
37624,37624,2019-01-02 10:00:12+00:00,1080403378008715264,"Over on our forums, 'jacobo_santamarta_barral' is looking for some #WednesdayWisdom. After recommendation from his neuro, he's moving from Tysabri to Ocrevus and looking to find out more from those who've experienced it first hand.

https://t.co/gNejUQAuko https://t.co/DPm5tZHnNS","b""Over on our forums, 'jacobo_santamarta_barral' is looking for some #WednesdayWisdom. After recommendation from his neuro, he's moving from Tysabri to Ocrevus and looking to find out more from those who've experienced it first hand.\n\nhttps://t.co/gNejUQAuko https://t.co/DPm5tZHnNS""",shiftms,https://twitter.com/shiftms/status/1080403378008715264,en,tysabri,,Over on our forums jacobosantamartabarral is looking for some WednesdayWisdom After recommendation from his neuro hes moving from Tysabri to Ocrevus and looking to find out more from those whove experienced it first hand,Over on our forums jacobosantamartabarral is looking for some  After recommendation from his neuro hes moving from Tysabri to Ocrevus and looking to find out more from those whove experienced it first hand,34,33
5382,5382,2018-02-12 14:20:25+00:00,963055191884001280,Breaking news: The Scottish Medicines Consortium has approved Mavenclad (cladribine) as a treatment for highly active relapsing #MS. Full story here: https://t.co/dMyJxwMKOg https://t.co/h3b7fYWmpq,b'Breaking news: The Scottish Medicines Consortium has approved Mavenclad (cladribine) as a treatment for highly active relapsing #MS. Full story here: https://t.co/dMyJxwMKOg https://t.co/h3b7fYWmpq',MSTrust,https://twitter.com/MSTrust/status/963055191884001280,en,mavenclad,,Breaking news The Scottish Medicines Consortium has approved Mavenclad cladribine as a treatment for highly active relapsing MS Full story here,Breaking news The Scottish Medicines Consortium has approved Mavenclad cladribine as a treatment for highly active relapsing  Full story here,21,20
